,0
0,Cork
1,Galway
2,Mayo
3,Donegal
4,Kerry
5,Tipperary
6,Clare
7,Tyrone
8,Antrim
9,Limerick
10,Roscommon
11,Down
12,Wexford
13,Meath
14,Derry
15,Kilkenny
16,Wicklow
17,Offaly
18,Cavan
19,Waterford
20,Westmeath
21,Sligo
22,Laois
23,Kildare
24,Fermanagh
25,Leitrim
26,Armagh
27,Monaghan
28,Longford
29,Carlow
30,Louth
